project;tagCreatedOn;tagCoverage;projectCreatedOn;platform;domain;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
sofa-rpc;2019;0.7212000000000001;2018;Desktop/Server;Frameworks;2851;36;0.058;98;169;127;394;0.2487;0.4289;0.3223;37;35;49;121;0.3058;0.2893;0.405;0.3071;0.2071;0.3776;0.3776;0.1795
light-4j;2019;0.5115;2016;Desktop/Server;Frameworks;2477;24;0.0612;149;36;25;210;0.7095;0.1714;0.119;22;2;2;26;0.8462;0.0769;0.0769;0.1238;0.0556;0.1477;0.1477;0.1538
spock;2019;0.7598999999999999;2010;Desktop/Server;Frameworks;2463;69;0.1667;71;118;54;243;0.2922;0.4856;0.2222;13;43;31;87;0.1494;0.4943;0.3563;0.358;0.3644;0.1831;0.1831;0.0
transmittable-thread-local;2019;0.8079999999999999;2013;Desktop/Server;Frameworks;2209;11;1.0;12;0;0;12;1.0;0.0;0.0;4;0;0;4;1.0;0.0;0.0;0.3333;NaN;NaN;0.3333;0.0
jetcache;2019;0.9131999999999999;2017;Desktop/Server;Frameworks;1843;9;0.0741;43;54;2;99;0.4343;0.5455;0.0202;9;10;1;20;0.45;0.5;0.05;0.202;0.1852;0.2093;0.2093;0.2083
grpc-spring-boot-starter;2019;0.9161;2016;Desktop/Server;Frameworks;1220;7;0.0;18;0;16;34;0.5294;0.0;0.4706;1;0;0;1;1.0;0.0;0.0;0.0294;NaN;NaN;0.0556;0.0
fluent-validator;2016;0.8217;2015;Desktop/Server;Frameworks;803;3;0.0339;9;10;4;23;0.3913;0.4348;0.1739;9;2;3;14;0.6429;0.1429;0.2143;0.6087;0.2;1.0;1.0;0.2
pippo;2018;0.2168;2014;Desktop/Server;Frameworks;713;24;0.0263;45;150;2;197;0.2284;0.7614;0.0102;2;1;0;3;0.6667;0.3333;0.0;0.0152;0.0067;0.0444;0.0444;0.0851
RxJava;2019;0.9815999999999999;2013;Multi-platform;Libraries;40557;237;0.1209;179;6;100;285;0.6281;0.0211;0.3509;174;2;99;275;0.6327;0.0073;0.36;0.9649;0.3333;0.9721;0.9721;0.8
dropwizard;2019;0.8578;2011;Desktop/Server;Libraries;7363;346;0.0924;112;12;34;158;0.7089;0.0759;0.2152;43;10;17;70;0.6143;0.1429;0.2429;0.443;0.8333;0.3839;0.3839;0.3284
caffeine;2019;0.9372;2014;Multi-platform;Libraries;6576;27;0.287;246;9;31;286;0.8601;0.0315;0.1084;66;9;26;101;0.6535;0.0891;0.2574;0.3531;1.0;0.2683;0.2683;0.4091
vavr;2019;0.9587;2014;Multi-platform;Libraries;3427;91;0.1051;226;3;99;328;0.689;0.0091;0.3018;204;3;98;305;0.6689;0.0098;0.3213;0.9299;1.0;0.9027;0.9027;0.7
webcam-capture;2018;0.19469999999999998;2012;Desktop/Server;Libraries;1567;21;0.0714;157;74;6;237;0.6624;0.3122;0.0253;4;0;0;4;1.0;0.0;0.0;0.0169;0.0;0.0255;0.0255;0.0256
TelegramBots;2019;0.1246;2016;Desktop/Server;Libraries;1526;55;0.1066;20;461;1;482;0.0415;0.9564;0.0021;1;10;0;11;0.0909;0.9091;0.0;0.0228;0.0217;0.05;0.05;0.1304
